#Frame,Mode1,Mode2,Mode3
340,30.686,23.341,3.489
341,36.695,33.522,13.829
342,29.053,28.363,29.65
343,24.67,46.93,66.188
344,32.718,35.014,44.296
345,18.356,52.812,42.776
346,24.09,49.297,53.898
347,18.692,62.589,42.412
348,33.637,39.575,53.256
349,29.382,36.713,34.758
350,28.585,25.773,31.232
351,18.459,32.752,56.077
352,24.624,52.656,62.889
353,33.113,24.877,54.904
354,29.416,36.084,65.546
355,22.841,25.231,65.855
356,24.174,11.032,42.545
357,5.555,-5.779,52.727
358,16.552,-12.364,57.15
359,-1.114,20.918,64.805
360,-5.874,24.483,79.585
361,-13.734,10.306,51.708
362,-13.168,11.458,53.864
363,-3.668,39.484,69.22
364,23.231,24.751,57.248
365,17.49,29.924,57.372
366,18.645,48.385,48.374
367,0.4,27.625,28.936
368,-2.604,16.375,39.144
369,-26.708,11.172,23.957
370,3.816,-7.271,23.539
371,25.955,29.477,16.486
372,22.898,35.517,25.632
373,47.915,66.152,35.598
374,47.853,46.486,29.378
375,34.643,41.071,23.569
376,30.515,62.036,23.634
377,29.429,52.601,13.369
378,31.111,63.545,48.454
379,36.581,70.281,35.623
380,16.386,80.149,58.401
381,33.198,78.518,42.069
382,31.5,70.839,55.822
383,49.194,64.617,52.544
384,38.785,48.194,58.99
385,22.744,54.747,69.88
386,19.976,48.92,70.199
387,7.389,58.945,93.808
388,13.362,25.495,73.021
389,11.791,38.303,86.863
390,27.765,47.128,78.422
391,22.09,66.977,75.076
392,45.131,62.986,79.393
393,20.262,70.994,58.314
394,18.419,54.986,71.188
395,35.733,87.682,71.886
396,26.033,83.844,59.861
397,31.9,98.425,69.693
398,47.532,93.715,71.225
399,38.42,94.577,68.183
400,69.728,83.29,85.57
401,66.191,84.431,90.007
402,62.842,75.147,71.28
403,57.657,77.73,58.761
404,59.789,78.637,83.301
405,40.8,68.692,71.774
406,37.212,77.605,57.3
407,19.945,76.382,67.35
408,24.994,68.15,44.908
409,27.992,81.007,52.143
410,50.791,62.311,34.71
411,37.391,57.089,71.193
412,26.595,41.975,61.869
413,23.042,46.365,58.063
414,37.285,75.174,84.147
415,25.325,66.771,70.963
416,29.914,64.557,60.798
417,47.359,94.702,73.222
418,49.101,74.613,57.185
419,34.049,64.551,49.38
420,53.254,84.78,61.904
421,21.163,73.894,67.141
422,22.736,92.991,52.94
423,25.805,62.485,65.876
424,36.994,76.137,53.483
425,38.953,53.592,46.332
426,29.308,42.61,72.888
427,58.944,37.828,41.098
428,60.745,14.09,35.172
429,64.069,19.85,41.904
430,57.716,19.373,28.897
431,51.474,-34.175,7.41
432,54.495,-27.78,35.161
433,29.637,-43.75,20.651
434,62.204,-49.685,42.799
435,62.454,-66.815,17.5
436,69.755,-72.705,28.674
437,77.468,-50.869,41.039
438,57.741,-51.339,46.062
439,76.305,-44.754,40.241
440,72.125,-76.289,22.396
441,78.928,-56.082,28.766
442,89.091,-63.347,20.602
443,79.796,-77.915,38.817
444,59.809,-84.206,35.256
445,54.693,-64.866,49.927
446,58.29,-49.787,51.045
447,42.444,-63.896,52.509
448,24.84,-47.069,49.101
449,39.806,-72.415,58.341
450,25.571,-56.741,44.612
451,40.631,-60.594,23.595
452,64.283,-27.638,38.42
453,76.876,11.106,50.341
454,57.609,-1.011,55.844
455,64.305,4.387,55.61
456,65.703,-2.726,52.727
457,78.047,-2.543,52.922
458,85.133,-1.368,55.003
459,50.107,-3.231,59.283
460,46.47,-1.46,75.59
461,52.515,-6.507,70.692
462,33.704,11.877,97.301
463,28.732,28.444,100.963
464,24.206,45.187,114.997
465,19.184,45.323,118.372
466,15.874,44.279,118.123
467,36.857,0.545,111.876
468,36.606,23.039,110.703
469,46.211,23.78,114.389
470,49.806,43.792,131.568
471,59.67,24.703,109.113
472,41.789,8.415,104.569
473,51.535,35.833,94.009
474,22.931,39.314,119.039
475,34.181,38.898,98.169
476,31.928,71.862,96.963
477,36.743,67.751,92.968
478,42.165,68.32,90.18
479,39.309,51.676,90.377
480,38.404,36.118,81.315
481,39.973,12.333,72.39
482,16.248,32.885,95.423
483,28.297,24.576,76.735
484,30.302,7.472,72.048
485,15.56,21.069,79.044
486,24.525,11.812,81.178
487,20.23,-0.064,95.363
488,27.542,-22.372,82.903
489,17.459,-3.258,69.864
490,20.318,24.017,72.255
491,21.848,15.833,79.247
492,33.911,-17.81,81.667
493,31.092,-18.933,67.248
494,15.245,-32.846,86.078
495,20.772,-12.92,74.748
496,45.953,-10.454,82.743
497,31.225,-8.204,57.714
498,77.051,-11.215,50.248
499,74.939,28.589,52.973
500,60.954,19.733,60.967
501,49.402,17.896,55.305
502,51.466,13.556,62.763
503,44.226,-24.93,52.741
504,49.838,-7.755,58.856
505,58.784,-12.208,58.887
506,45.208,7.259,60.89
507,35.264,-5.579,73.293
508,32.012,-13.234,72.486
509,17.956,-18.864,66.489
510,34.261,12.499,79.9
511,27.596,0.877,64.881
512,16.086,-9.033,58.269
513,31.207,-11.408,66.146
514,39.56,-8.681,65.731
515,32.676,4.852,72.225
516,45.656,22.464,52.283
517,44.138,33.94,67.985
518,58.937,18.282,48.704
519,62.246,3.429,53.874
520,39.375,11.848,60.652
521,38.966,12.728,65.365
522,22.907,-21.019,51.799
523,29.735,17.121,77.248
524,48.386,15.521,61.978
525,52.082,16.231,57.531
526,62.093,-4.387,69.705
527,63.643,3.374,40.578
